Uniprot ID,Protein Name,Gene Name,Function
Q9NRJ3,C-C motif chemokine 28,CCL28,"Chemotactic activity for resting CD4, CD8 T-cells and eosinophils. Binds to CCR3 and CCR10 and induces calcium mobilization in a dose-dependent manner."
P80511,Protein S100-A12,S100A12,"S100A12 is a calcium-, zinc- and copper-binding protein which plays a prominent role in the regulation of inflammatory processes and immune response. Its proinflammatory activity involves recruitment of leukocytes, promotion of cytokine and chemokine production, and regulation of leukocyte adhesion and migration. Acts as an alarmin or a danger associated molecular pattern (DAMP) molecule and stimulates innate immune cells via binding to receptor for advanced glycation endproducts (AGER). Binding to AGER activates the MAP-kinase and NF-kappa-B signaling pathways leading to production of proinflammatory cytokines and up-regulation of cell adhesion molecules ICAM1 and VCAM1. Acts as a monocyte and mast cell chemoattractant. Can stimulate mast cell degranulation and activation which generates chemokines, histamine and cytokines inducing further leukocyte recruitment to the sites of inflammation. Can inhibit the activity of matrix metalloproteinases; MMP2, MMP3 and MMP9 by chelating Zn2+ from their active sites. Possesses filariacidal and filariastatic activity. Calcitermin possesses antifungal activity against C.albicans and is also active against E.coli and P.aeruginosa but not L.monocytogenes and S.aureus.4 Publications"
P25942,Tumor necrosis factor receptor superfamily member 5,CD40,"Receptor for TNFSF5/CD40LG (PubMed:31331973). Transduces TRAF6- and MAP3K8-mediated signals that activate ERK in macrophages and B cells, leading to induction of immunoglobulin secretion (By similarity).By similarity"
O95760,Interleukin-33,IL33,"Cytokine that binds to and signals through the IL1RL1/ST2 receptor which in turn activates NF-kappa-B and MAPK signaling pathways in target cells (PubMed:16286016). Involved in the maturation of Th2 cells inducing the secretion of T-helper type 2-associated cytokines. Also involved in activation of mast cells, basophils, eosinophils and natural killer cells. Acts as a chemoattractant for Th2 cells, and may function as an 'alarmin', that amplifies immune responses during tissue injury (PubMed:17853410, PubMed:18836528).3 Publications"
P01579,Interferon gamma,IFNG,"Produced by lymphocytes activated by specific antigens or mitogens. IFN-gamma, in addition to having antiviral activity, has important immunoregulatory functions. It is a potent activator of macrophages, it has antiproliferative effects on transformed cells and it can potentiate the antiviral and antitumor effects of the type I interferons."
O95750,Fibroblast growth factor 19,FGF19,"Involved in the suppression of bile acid biosynthesis through down-regulation of CYP7A1 expression, following positive regulation of the JNK and ERK1/2 cascades. Stimulates glucose uptake in adipocytes. Activity requires the presence of KLB and FGFR4.4 Publications"
P05112,Interleukin-4,IL4,Participates in at least several B-cell activation processes as well as of other cell types (PubMed:3016727). It is a costimulator of DNA-synthesis. It induces the expression of class II MHC molecules on resting B-cells. It enhances both secretion and cell surface expression of IgE and IgG1. It also regulates the expression of the low affinity Fc receptor for IgE (CD23) on both lymphocytes and monocytes. Positively regulates IL31RA expression in macrophages (By similarity). Stimulates autophagy in dendritic cells by interfering with mTORC1 signaling and through the induction of RUFY4 (By similarity).By similarity
P15018,Leukemia inhibitory factor,LIF,"LIF has the capacity to induce terminal differentiation in leukemic cells. Its activities include the induction of hematopoietic differentiation in normal and myeloid leukemia cells, the induction of neuronal cell differentiation, and the stimulation of acute-phase protein synthesis in hepatocytes."
Q99748,Neurturin,NRTN,Supports the survival of sympathetic neurons in culture. May regulate the development and maintenance of the CNS. Might control the size of non-neuronal cell population such as haemopoietic cells.
P80075,C-C motif chemokine 8,CCL8,"Chemotactic factor that attracts monocytes, lymphocytes, basophils and eosinophils. May play a role in neoplasia and inflammatory host responses. This protein can bind heparin. The processed form MCP-2(6-76) does not show monocyte chemotactic activity, but inhibits the chemotactic effect most predominantly of CCL7, and also of CCL2 and CCL5 and CCL8.1 Publication"
Q14790,Caspase-8,CASP8,"Most upstream protease of the activation cascade of caspases responsible for the TNFRSF6/FAS mediated and TNFRSF1A induced cell death. Binding to the adapter molecule FADD recruits it to either receptor. The resulting aggregate called death-inducing signaling complex (DISC) performs CASP8 proteolytic activation. The active dimeric enzyme is then liberated from the DISC and free to activate downstream apoptotic proteases. Proteolytic fragments of the N-terminal propeptide (termed CAP3, CAP5 and CAP6) are likely retained in the DISC. Cleaves and activates CASP3, CASP4, CASP6, CASP7, CASP9 and CASP10. May participate in the GZMB apoptotic pathways. Cleaves PARP1 (PubMed:8681376, PubMed:9184224, PubMed:23516580, PubMed:9006941). Hydrolyzes the small-molecule substrate, Ac-Asp-Glu-Val-Asp-|-AMC. Likely target for the cowpox virus CRMA death inhibitory protein (PubMed:8962078). Cleaves RIPK1 at 'Asp-324', which is crucial to inhibit RIPK1 kinase activity, limiting TNF-induced apoptosis, necroptosis and inflammatory response (PubMed:31827281, PubMed:31827280).7 Publications"
O15444,C-C motif chemokine 25,CCL25,"Potentially involved in T-cell development. Recombinant protein shows chemotactic activity on thymocytes, macrophages, THP-1 cells, and dendritics cells but is inactive on peripheral blood lymphocytes and neutrophils. Binds to CCR9. Isoform 2 is an antagonist of isoform 1. Binds to atypical chemokine receptor ACKR4 and mediates the recruitment of beta-arrestin (ARRB1/2) to ACKR4."
P78423,Fractalkine,CX3CL1,"Acts as a ligand for both CX3CR1 and integrins. Binds to CX3CR1 (PubMed:23125415, PubMed:9931005, PubMed:21829356). Binds to integrins ITGAV:ITGB3 and ITGA4:ITGB1. Can activate integrins in both a CX3CR1-dependent and CX3CR1-independent manner. In the presence of CX3CR1, activates integrins by binding to the classical ligand-binding site (site 1) in integrins. In the absence of CX3CR1, binds to a second site (site 2) in integrins which is distinct from site 1 and enhances the binding of other integrin ligands to site 1 (PubMed:23125415, PubMed:24789099). The soluble form is chemotactic for T-cells and monocytes and not for neutrophils. The membrane-bound form promotes adhesion of those leukocytes to endothelial cells. May play a role in regulating leukocyte adhesion and migration processes at the endothelium (PubMed:9024663, PubMed:9177350).6 Publications"
Q07011,Tumor necrosis factor receptor superfamily member 9,TNFRSF9,Receptor for TNFSF9/4-1BBL. Possibly active during T cell activation.
P20783,Neurotrophin-3,NTF3,Seems to promote the survival of visceral and proprioceptive sensory neurons.
O43508,Tumor necrosis factor ligand superfamily member 12,TNFSF12,Binds to FN14 and possibly also to TNRFSF12/APO3. Weak inducer of apoptosis in some cell types. Mediates NF-kappa-B activation. Promotes angiogenesis and the proliferation of endothelial cells. Also involved in induction of inflammatory cytokines. Promotes IL8 secretion.2 Publications
P78556,C-C motif chemokine 20,CCL20,"Acts as a ligand for C-C chemokine receptor CCR6. Signals through binding and activation of CCR6 and induces a strong chemotactic response and mobilization of intracellular calcium ions (PubMed:11352563, PubMed:11035086, PubMed:20068036). The ligand-receptor pair CCL20-CCR6 is responsible for the chemotaxis of dendritic cells (DC), effector/memory T-cells and B-cells and plays an important role at skin and mucosal surfaces under homeostatic and inflammatory conditions, as well as in pathology, including cancer and various autoimmune diseases (PubMed:21376174). CCL20 acts as a chemotactic factor that attracts lymphocytes and, slightly, neutrophils, but not monocytes (PubMed:9038201, PubMed:11352563). Involved in the recruitment of both the proinflammatory IL17 producing helper T-cells (Th17) and the regulatory T-cells (Treg) to sites of inflammation. Required for optimal migration of thymic natural regulatory T cells (nTregs) and DN1 early thymocyte progenitor cells (By similarity). C-terminal processed forms have been shown to be equally chemotactically active for leukocytes (PubMed:11035086). Positively regulates sperm motility and chemotaxis via its binding to CCR6 which triggers Ca2+ mobilization in the sperm which is important for its motility (PubMed:23765988, PubMed:25122636). Inhibits proliferation of myeloid progenitors in colony formation assays (PubMed:9129037). May be involved in formation and function of the mucosal lymphoid tissues by attracting lymphocytes and dendritic cells towards epithelial cells (By similarity). Possesses antibacterial activity towards E.coli ATCC 25922 and S.aureus ATCC 29213 (PubMed:12149255).1 Publication"
P50225,Sulfotransferase 1A1,SULT1A1,"Sulfotransferase that utilizes 3'-phospho-5'-adenylyl sulfate (PAPS) as sulfonate donor to catalyze the sulfate conjugation of catecholamines, phenolic drugs and neurotransmitters. Has also estrogen sulfotransferase activity. responsible for the sulfonation and activation of minoxidil. Is Mediates the metabolic activation of carcinogenic N-hydroxyarylamines to DNA binding products and could so participate as modulating factor of cancer risk.2 Publications"
O95630,STAM-binding protein,STAMBP,Zinc metalloprotease that specifically cleaves 'Lys-63'-linked polyubiquitin chains. Does not cleave 'Lys-48'-linked polyubiquitin chains (By similarity). Plays a role in signal transduction for cell growth and MYC induction mediated by IL-2 and GM-CSF. Potentiates BMP (bone morphogenetic protein) signaling by antagonizing the inhibitory action of SMAD6 and SMAD7. Has a key role in regulation of cell surface receptor-mediated endocytosis and ubiquitin-dependent sorting of receptors to lysosomes. Endosomal localization of STAMBP is required for efficient EGFR degradation but not for its internalization (By similarity). Involved in the negative regulation of PI3K-AKT-mTOR and RAS-MAP signaling pathways.By similarity5 Publications
P05113,Interleukin-5,IL5,Factor that induces terminal differentiation of late-developing B-cells to immunoglobulin secreting cells.
P00813,Adenosine deaminase,ADA,"Catalyzes the hydrolytic deamination of adenosine and 2-deoxyadenosine (PubMed:8452534, PubMed:16670267). Plays an important role in purine metabolism and in adenosine homeostasis. Modulates signaling by extracellular adenosine, and so contributes indirectly to cellular signaling events. Acts as a positive regulator of T-cell coactivation, by binding DPP4 (PubMed:20959412). Its interaction with DPP4 regulates lymphocyte-epithelial cell adhesion (PubMed:11772392). Enhances dendritic cell immunogenicity by affecting dendritic cell costimulatory molecule expression and cytokines and chemokines secretion (By similarity). Enhances CD4+ T-cell differentiation and proliferation (PubMed:20959412). Acts as a positive modulator of adenosine receptors ADORA1 and ADORA2A, by enhancing their ligand affinity via conformational change (PubMed:23193172). Stimulates plasminogen activation (PubMed:15016824). Plays a role in male fertility (PubMed:21919946, PubMed:26166670). Plays a protective role in early postimplantation embryonic development (By similarity).By similarity"
P01374,Lymphotoxin-alpha,LTA,"Cytokine that in its homotrimeric form binds to TNFRSF1A/TNFR1, TNFRSF1B/TNFBR and TNFRSF14/HVEM (PubMed:9462508). In its heterotrimeric form with LTB binds to TNFRSF3/LTBR. Lymphotoxin is produced by lymphocytes and is cytotoxic for a wide range of tumor cells in vitro and in vivo.1 Publication"
P09603,Macrophage colony-stimulating factor 1,CSF1,"Cytokine that plays an essential role in the regulation of survival, proliferation and differentiation of hematopoietic precursor cells, especially mononuclear phagocytes, such as macrophages and monocytes. Promotes the release of proinflammatory chemokines, and thereby plays an important role in innate immunity and in inflammatory processes. Plays an important role in the regulation of osteoclast proliferation and differentiation, the regulation of bone resorption, and is required for normal bone development. Required for normal male and female fertility. Promotes reorganization of the actin cytoskeleton, regulates formation of membrane ruffles, cell adhesion and cell migration. Plays a role in lipoprotein clearance.4 Publications"
Q8NFT8,Delta and Notch-like epidermal growth factor-related receptor,DNER,Activator of the NOTCH1 pathway. May mediate neuron-glia interaction during astrocytogenesis (By similarity).By similarity
P01732,T-cell surface glycoprotein CD8 alpha chain,CD8A,"Integral membrane glycoprotein that plays an essential role in the immune response and serves multiple functions in responses against both external and internal offenses. In T-cells, functions primarily as a coreceptor for MHC class I molecule:peptide complex. The antigens presented by class I peptides are derived from cytosolic proteins while class II derived from extracellular proteins. Interacts simultaneously with the T-cell receptor (TCR) and the MHC class I proteins presented by antigen presenting cells (APCs). In turn, recruits the Src kinase LCK to the vicinity of the TCR-CD3 complex. LCK then initiates different intracellular signaling pathways by phosphorylating various substrates ultimately leading to lymphokine production, motility, adhesion and activation of cytotoxic T-lymphocytes (CTLs). This mechanism enables CTLs to recognize and eliminate infected cells and tumor cells. In NK-cells, the presence of CD8A homodimers at the cell surface provides a survival mechanism allowing conjugation and lysis of multiple target cells. CD8A homodimer molecules also promote the survival and differentiation of activated lymphocytes into memory CD8 T-cells.4 Publications"
Q9H6B4,CXADR-like membrane protein,CLMP,May be involved in the cell-cell adhesion. May play a role in adipocyte differentiation and development of obesity. Is required for normal small intestine development.3 Publications
Q96JA1,Leucine-rich repeats and immunoglobulin-like domains protein 1,LRIG1,"Acts as a feedback negative regulator of signaling by receptor tyrosine kinases, through a mechanism that involves enhancement of receptor ubiquitination and accelerated intracellular degradation.1 Publication"
O95502,Neuronal pentraxin receptor,NPTXR,May be involved in mediating uptake of synaptic material during synapse remodeling or in mediating the synaptic clustering of AMPA glutamate receptors at a subset of excitatory synapses.By similarity
P23526,Adenosylhomocysteinase,AHCY,Adenosylhomocysteine is a competitive inhibitor of S-adenosyl-L-methionine-dependent methyl transferase reactions; therefore adenosylhomocysteinase may play a key role in the control of methylations via regulation of the intracellular concentration of adenosylhomocysteine.1 Publication
P52888,Thimet oligopeptidase,THOP1,Involved in the metabolism of neuropeptides under 20 amino acid residues long. Involved in cytoplasmic peptide degradation. Able to degrade the amyloid-beta precursor protein and generate amyloidogenic fragments.
P43234,Cathepsin O,CTSO,Proteolytic enzyme possibly involved in normal cellular protein degradation and turnover.
Q96LA6,Fc receptor-like protein 1,FCRL1,May function as an activating coreceptor in B-cells. May function in B-cells activation and differentiation.1 Publication
Q04900,Sialomucin core protein 24,CD164,Sialomucin that may play a key role in hematopoiesis by facilitating the adhesion of CD34+ cells to the stroma and by negatively regulating CD34+CD38(lo/-) cell proliferation. Modulates the migration of umbilical cord blood CD133+ cells and this is mediated through the CXCL12/CXCR4 axis. May play an important role in prostate cancer metastasis and the infiltration of bone marrow by cancer cells. Promotes myogenesis by enhancing CXCR4-dependent cell motility. Positively regulates myoblast migration and promotes myoblast fusion into myotubes (By similarity).By similarity
P20711,Aromatic-L-amino-acid decarboxylase,DDC,"Catalyzes the decarboxylation of L-3,4-dihydroxyphenylalanine (DOPA) to dopamine, L-5-hydroxytryptophan to serotonin and L-tryptophan to tryptamine."
Q9NPH0,Lysophosphatidic acid phosphatase type 6,ACP6,"Hydrolyzes lysophosphatidic acid (LPA) containing a medium length fatty acid chain to the corresponding monoacylglycerol. Has highest activity with lysophosphatidic acid containing myristate (C14:0), monounsaturated oleate (C18:1) or palmitate (C16:0), and lower activity with C18:0 and C6:0 lysophosphatidic acid.2 Publications"
Q03403,Trefoil factor 2,TFF2,"Inhibits gastrointestinal motility and gastric acid secretion. Could function as a structural component of gastric mucus, possibly by stabilizing glycoproteins in the mucus gel through interactions with carbohydrate side chains (By similarity).By similarity"
P25815,Protein S100-P,S100P,"May function as calcium sensor and contribute to cellular calcium signaling. In a calcium-dependent manner, functions by interacting with other proteins, such as EZR and PPP5C, and indirectly plays a role in physiological processes like the formation of microvilli in epithelial cells. May stimulate cell proliferation in an autocrine manner via activation of the receptor for activated glycation end products (RAGE).3 Publications"
O15123,Angiopoietin-2,ANGPT2,"Binds to TEK/TIE2, competing for the ANGPT1 binding site, and modulating ANGPT1 signaling. Can induce tyrosine phosphorylation of TEK/TIE2 in the absence of ANGPT1. In the absence of angiogenic inducers, such as VEGF, ANGPT2-mediated loosening of cell-matrix contacts may induce endothelial cell apoptosis with consequent vascular regression. In concert with VEGF, it may facilitate endothelial cell migration and proliferation, thus serving as a permissive angiogenic signal.4 Publications"
Q9Y5K6,CD2-associated protein,CD2AP,"Seems to act as an adapter protein between membrane proteins and the actin cytoskeleton (PubMed:10339567). In collaboration with CBLC, modulates the rate of RET turnover and may act as regulatory checkpoint that limits the potency of GDNF on neuronal survival. Controls CBLC function, converting it from an inhibitor to a promoter of RET degradation (By similarity). May play a role in receptor clustering and cytoskeletal polarity in the junction between T-cell and antigen-presenting cell (By similarity). May anchor the podocyte slit diaphragm to the actin cytoskeleton in renal glomerolus. Also required for cytokinesis (PubMed:15800069). Plays a role in epithelial cell junctions formation (PubMed:22891260).By similarity"
O43827,Angiopoietin-related protein 7,ANGPTL7,"Has a role in the formation and organization of the extracellular matrix. In the eye, it functions as a mediator of dexamethasone-induced matrix deposition in the trabecular meshwork, the tissue responsible for the outflow of the ocular aqueous humor and for the maintenance of intraocular pressure (PubMed:21199193). Is a negative regulator of angiogenesis in the cornea, and plays a major role in maintaining corneal avascularity and transparency (PubMed:25622036).2 Publications"
Q9NY25,C-type lectin domain family 5 member A,CLEC5A,Functions as a positive regulator of osteoclastogenesis (By similarity). Cell surface receptor that signals via TYROBP (PubMed:10449773). Regulates inflammatory responses (By similarity).By similarity
Q9GZM7,Tubulointerstitial nephritis antigen-like,TINAGL1,May be implicated in the adrenocortical zonation and in mechanisms for repressing the CYP11B1 gene expression in adrenocortical cells. This is a non catalytic peptidase C1 family protein (By similarity).By similarity
P35754,Glutaredoxin-1,GLRX,Has a glutathione-disulfide oxidoreductase activity in the presence of NADPH and glutathione reductase. Reduces low molecular weight disulfides and proteins.
P09104,Gamma-enolase,ENO2,"Has neurotrophic and neuroprotective properties on a broad spectrum of central nervous system (CNS) neurons. Binds, in a calcium-dependent manner, to cultured neocortical neurons and promotes cell survival (By similarity).By similarity"
O95544,NAD kinase,NADK,"a divalent metal cationSearch proteins in UniProtKB for this molecule.Search chemical reactions in Rhea for this molecule.See the description of this molecule in ChEBI.1 PublicationManual assertion based on experiment iniRef.1""Structural and functional characterization of human NAD kinase.""Lerner F., Niere M., Ludwig A., Ziegler M.Biochem. Biophys. Res. Commun. 288:69-74(2001)  [PubMed] [Europe PMC] [Abstract]Cited for: NUCLEOTIDE SEQUENCE [MRNA] (ISOFORM 1), CATALYTIC ACTIVITY, COFACTOR, BIOPHYSICOCHEMICAL PROPERTIES, TISSUE SPECIFICITY, VARIANT LYS-262."
Q9UBU3,Appetite-regulating hormone,GHRL,"Ghrelin is the ligand for growth hormone secretagogue receptor type 1 (GHSR). Induces the release of growth hormone from the pituitary. Has an appetite-stimulating effect, induces adiposity and stimulates gastric acid secretion. Involved in growth regulation."
P50452,Serpin B8,SERPINB8,Has an important role in epithelial desmosome-mediated cell-cell adhesion.1 Publication
P35237,Serpin B6,SERPINB6,"May be involved in the regulation of serine proteinases present in the brain or extravasated from the blood (By similarity). Inhibitor of cathepsin G, kallikrein-8 and thrombin. May play an important role in the inner ear in the protection against leakage of lysosomal content during stress and loss of this protection results in cell death and sensorineural hearing loss.By similarity5 Publications"
Q9HBB8,Cadherin-related family member 5,CDHR5,"Intermicrovillar adhesion molecule that forms, via its extracellular domain, calcium-dependent heterophilic complexes with CDHR2 on adjacent microvilli. Thereby, controls the packing of microvilli at the apical membrane of epithelial cells. Through its cytoplasmic domain, interacts with microvillus cytoplasmic proteins to form the intermicrovillar adhesion complex/IMAC. This complex plays a central role in microvilli and epithelial brush border differentiation.1 Publication"
Q76M96,Coiled-coil domain-containing protein 80,CCDC80,Promotes cell adhesion and matrix assembly.By similarity
Q9NR28,"Diablo homolog, mitochondrial",DIABLO,Promotes apoptosis by activating caspases in the cytochrome c/Apaf-1/caspase-9 pathway. Acts by opposing the inhibitory activity of inhibitor of apoptosis proteins (IAP). Inhibits the activity of BIRC6/bruce by inhibiting its binding to caspases. Isoform 3 attenuates the stability and apoptosis-inhibiting activity of XIAP/BIRC4 by promoting XIAP/BIRC4 ubiquitination and degradation through the ubiquitin-proteasome pathway. Isoform 3 also disrupts XIAP/BIRC4 interacting with processed caspase-9 and promotes caspase-3 activation. Isoform 1 is defective in the capacity to down-regulate the XIAP/BIRC4 abundance.3 Publications
Q8N1Q1,Carbonic anhydrase 13,CA13,Reversible hydration of carbon dioxide.
Q13275,Semaphorin-3F,SEMA3F,May play a role in cell motility and cell adhesion.
O43240,Kallikrein-10,KLK10,Has a tumor-suppressor role for NES1 in breast and prostate cancer.
Q9UKJ0,Paired immunoglobulin-like type 2 receptor beta,PILRB,Paired receptors consist of highly related activating and inhibitory receptors and are widely involved in the regulation of the immune system. PILRB is thought to act as a cellular signaling activating receptor that associates with ITAM-bearing adapter molecules on the cell surface.
O95841,Angiopoietin-related protein 1,ANGPTL1,1 Publication
P51693,Amyloid-like protein 1,APLP1,"May play a role in postsynaptic function. The C-terminal gamma-secretase processed fragment, ALID1, activates transcription activation through APBB1 (Fe65) binding (By similarity). Couples to JIP signal transduction through C-terminal binding. May interact with cellular G-protein signaling pathways. Can regulate neurite outgrowth through binding to components of the extracellular matrix such as heparin and collagen I.By similarity"
Q8IZP9,Adhesion G-protein coupled receptor G2,ADGRG2,Orphan receptor. Could be involved in a signal transduction pathway controlling epididymal function and male fertility. May regulate fluid exchange within epididymis.By similarity
P19971,Thymidine phosphorylase,TYMP,"May have a role in maintaining the integrity of the blood vessels. Has growth promoting activity on endothelial cells, angiogenic activity in vivo and chemotactic activity on endothelial cells in vitro.1 Publication"
O75791,GRB2-related adapter protein 2,GRAP2,Interacts with SLP-76 to regulate NF-AT activation. Binds to tyrosine-phosphorylated shc.
A6NI73,Leukocyte immunoglobulin-like receptor subfamily A member 5,LILRA5,May play a role in triggering innate immune responses. Does not seem to play a role for any class I MHC antigen recognition.1 Publication
P00352,Retinal dehydrogenase 1,ALDH1A1,"Can convert/oxidize retinaldehyde to retinoic acid. Binds free retinal and cellular retinol-binding protein-bound retinal (By similarity). May have a broader specificity and oxidize other aldehydes in vivo (PubMed:19296407, PubMed:26373694, PubMed:25450233).By similarity"
P40259,B-cell antigen receptor complex-associated protein beta chain,CD79B,"Required in cooperation with CD79A for initiation of the signal transduction cascade activated by the B-cell antigen receptor complex (BCR) which leads to internalization of the complex, trafficking to late endosomes and antigen presentation. Enhances phosphorylation of CD79A, possibly by recruiting kinases which phosphorylate CD79A or by recruiting proteins which bind to CD79A and protect it from dephosphorylation.3 Publications"
P09525,Annexin A4,ANXA4,Calcium/phospholipid-binding protein which promotes membrane fusion and is involved in exocytosis.By similarity
P50995,Annexin A11,ANXA11,Binds specifically to calcyclin in a calcium-dependent manner (By similarity). Required for midbody formation and completion of the terminal phase of cytokinesis.By similarity1 Publication
Q9Y286,Sialic acid-binding Ig-like lectin 7,SIGLEC7,"Putative adhesion molecule that mediates sialic-acid dependent binding to cells. Preferentially binds to alpha-2,3- and alpha-2,6-linked sialic acid. Also binds disialogangliosides (disialogalactosyl globoside, disialyl lactotetraosylceramide and disialyl GalNAc lactotetraoslylceramide). The sialic acid recognition site may be masked by cis interactions with sialic acids on the same cell surface. In the immune response, may act as an inhibitory receptor upon ligand induced tyrosine phosphorylation by recruiting cytoplasmic phosphatase(s) via their SH2 domain(s) that block signal transduction through dephosphorylation of signaling molecules. Mediates inhibition of natural killer cells cytotoxicity. May play a role in hemopoiesis. Inhibits differentiation of CD34+ cell precursors towards myelomonocytic cell lineage and proliferation of leukemic myeloid cells (in vitro).1 Publication"
P26010,Integrin beta-7,ITGB7,"Integrin alpha-4/beta-7 (Peyer patches-specific homing receptor LPAM-1) is an adhesion molecule that mediates lymphocyte migration and homing to gut-associated lymphoid tissue (GALT). Integrin alpha-4/beta-7 interacts with the cell surface adhesion molecules MADCAM1 which is normally expressed by the vascular endothelium of the gastrointestinal tract. Interacts also with VCAM1 and fibronectin, an extracellular matrix component. It recognizes one or more domains within the alternatively spliced CS-1 region of fibronectin. Interactions involves the tripeptide L-D-T in MADCAM1, and L-D-V in fibronectin. Binds to HIV-1 gp120, thereby allowing the virus to enter GALT, which is thought to be the major trigger of AIDS disease. Interaction would involve a tripeptide L-D-I in HIV-1 gp120. Integrin alpha-E/beta-7 (HML-1) is a receptor for E-cadherin."
P09417,Dihydropteridine reductase,QDPR,"The product of this enzyme, tetrahydrobiopterin (BH-4), is an essential cofactor for phenylalanine, tyrosine, and tryptophan hydroxylases."
O00161,Synaptosomal-associated protein 23,SNAP23,Essential component of the high affinity receptor for the general membrane fusion machinery and an important regulator of transport vesicle docking and fusion.
P27695,DNA-(apurinic or apyrimidinic site) endonuclease,APEX1,"Multifunctional protein that plays a central role in the cellular response to oxidative stress. The two major activities of APEX1 are DNA repair and redox regulation of transcriptional factors. Functions as a apurinic/apyrimidinic (AP) endodeoxyribonuclease in the DNA base excision repair (BER) pathway of DNA lesions induced by oxidative and alkylating agents. Initiates repair of AP sites in DNA by catalyzing hydrolytic incision of the phosphodiester backbone immediately adjacent to the damage, generating a single-strand break with 5'-deoxyribose phosphate and 3'-hydroxyl ends. Does also incise at AP sites in the DNA strand of DNA/RNA hybrids, single-stranded DNA regions of R-loop structures, and single-stranded RNA molecules. Has a 3'-5' exoribonuclease activity on mismatched deoxyribonucleotides at the 3' termini of nicked or gapped DNA molecules during short-patch BER. Possesses a DNA 3' phosphodiesterase activity capable of removing lesions (such as phosphoglycolate) blocking the 3' side of DNA strand breaks. May also play a role in the epigenetic regulation of gene expression by participating in DNA demethylation. Acts as a loading factor for POLB onto non-incised AP sites in DNA and stimulates the 5'-terminal deoxyribose 5'-phosphate (dRp) excision activity of POLB. Plays a role in the protection from granzymes-mediated cellular repair leading to cell death. Also involved in the DNA cleavage step of class switch recombination (CSR). On the other hand, APEX1 also exerts reversible nuclear redox activity to regulate DNA binding affinity and transcriptional activity of transcriptional factors by controlling the redox status of their DNA-binding domain, such as the FOS/JUN AP-1 complex after exposure to IR. Involved in calcium-dependent down-regulation of parathyroid hormone (PTH) expression by binding to negative calcium response elements (nCaREs). Together with HNRNPL or the dimer XRCC5/XRCC6, associates with nCaRE, acting as an activator of transcriptional repression. Stimulates the YBX1-mediated MDR1 promoter activity, when acetylated at Lys-6 and Lys-7, leading to drug resistance. Acts also as an endoribonuclease involved in the control of single-stranded RNA metabolism. Plays a role in regulating MYC mRNA turnover by preferentially cleaving in between UA and CA dinucleotides of the MYC coding region determinant (CRD). In association with NMD1, plays a role in the rRNA quality control process during cell cycle progression. Associates, together with YBX1, on the MDR1 promoter. Together with NPM1, associates with rRNA. Binds DNA and RNA.25 Publications"
O75356,Ectonucleoside triphosphate diphosphohydrolase 5,ENTPD5,"Uridine diphosphatase (UDPase) that promotes protein N-glycosylation and ATP level regulation. UDP hydrolysis promotes protein N-glycosylation and folding in the endoplasmic reticulum, as well as elevated ATP consumption in the cytosol via an ATP hydrolysis cycle. Together with CMPK1 and AK1, constitutes an ATP hydrolysis cycle that converts ATP to AMP and results in a compensatory increase in aerobic glycolysis. The nucleotide hydrolyzing preference is GDP > IDP > UDP, but not any other nucleoside di-, mono- or triphosphates, nor thiamine pyrophosphate. Plays a key role in the AKT1-PTEN signaling pathway by promoting glycolysis in proliferating cells in response to phosphoinositide 3-kinase (PI3K) signaling.1 Publication"
Q9H4D0,Calsyntenin-2,CLSTN2,May modulate calcium-mediated postsynaptic signals.By similarity
P21964,Catechol O-methyltransferase,COMT,"Catalyzes the O-methylation, and thereby the inactivation, of catecholamine neurotransmitters and catechol hormones. Also shortens the biological half-lives of certain neuroactive drugs, like L-DOPA, alpha-methyl DOPA and isoproterenol.2 Publications"
Q15846,Clusterin-like protein 1,CLUL1,Curated
P51858,Hepatoma-derived growth factor,HDGF,"Acts as a transcriptional repressor (PubMed:17974029). Has mitogenic activity for fibroblasts (PubMed:11751870, PubMed:26845719). Heparin-binding protein (PubMed:15491618).4 Publications"
Q6WN34,Chordin-like protein 2,CHRDL2,"May inhibit BMPs activity by blocking their interaction with their receptors. Has a negative regulator effect on the cartilage formation/regeneration from immature mesenchymal cells, by preventing or reducing the rate of matrix accumulation (By similarity). Implicated in tumor angiogenesis. May play a role during myoblast and osteoblast differentiation, and maturation.By similarity2 Publications"
P09668,Pro-cathepsin H,CTSH,Important for the overall degradation of proteins in lysosomes.
Q15155,Nodal modulator 1,NOMO1,May antagonize Nodal signaling.By similarity
P16083,Ribosyldihydronicotinamide dehydrogenase [quinone],NQO2,The enzyme apparently serves as a quinone reductase in connection with conjugation reactions of hydroquinones involved in detoxification pathways as well as in biosynthetic processes such as the vitamin K-dependent gamma-carboxylation of glutamate residues in prothrombin synthesis.1 Publication
Q9BQB4,Sclerostin,SOST,Negative regulator of bone growth that acts through inhibition of Wnt signaling and bone formation.1 Publication
Q92520,Protein FAM3C,FAM3C,May be involved in retinal laminar formation. Promotes epithelial to mesenchymal transition.
Q8NBS9,Thioredoxin domain-containing protein 5,TXNDC5,Possesses thioredoxin activity. Has been shown to reduce insulin disulfide bonds. Also complements protein disulfide-isomerase deficiency in yeast (By similarity).By similarity
P41236,Protein phosphatase inhibitor 2,PPP1R2,Inhibitor of protein-phosphatase 1.
